Name:,,,,Badge #:,,Rank:,
Week 2,,,,,,,
Shift\Day,06/19,06/20,06/21,06/22,06/23,06/24,06/25
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
UHS – RSF AM 0815 - 1215,,,,,,,
UHS – RSF PM 1215 - 1645,,,,,,,
Hill Patrol 1100 - 1500,,,,,,,1
University Hall 1445 - 1815,,x,x,x,x,x,
Berkeley Way West 1545 - 1815,,x,x,x,x,x,
"Bechtel 1745-2200 
Escort swing: 2200-0000",,,,,,,
Supervisor 1800 - 0000,1,1,1,1,1,1,1
Dispatch (Escort IC)   1900 - 0300,1,1,1,1,1,1,1
Early Escort       1900 - 0100,3,3,3,3,3,3,3
RSSP Blackwell          2015 - 0115,10,10,10,10,10,10,10
Late Escort       2100 - 0300,3,3,3,3,3,3,3
Units CSO   2100 - 0200,10,10,10,10,10,10,10
RSSP IC               2230 - 0330,1,1,1,1,1,1,1
Number of Shifts for Week 2:,Atleast one night shift per day,,,Number of Hours for Week 2:,40,,
*Please fill out one or the other*,,,,,,,
Additional Info:,,,,,,,
