Name:,,,,Badge #:,,Rank:,
Week 2,,,,,,,
Shift\Day,07/31,08/01,08/02,08/03,08/04,08/05,08/06
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
UHS – RSF AM 0815 - 1215,,,,,,,
UHS – RSF PM 1215 - 1645,,,,,,,
Hill Patrol 1100 - 1500,,,,,,,
University Hall 1445 - 1815,,,,,,,
Berkeley Way West 1545 - 1815,,1,1,1,1,1,
"Bechtel 1745-2200 
Escort swing: 2200-0000",,,,,,,
Supervisor 1800 - 0000,,,,,,,
Dispatch (Escort IC)   1900 - 0300,,,,,,,
Early Escort 1900 - 0100,X,2,2,2,2,2,X
RSSP Blackwell          2015 - 0115,X,4,4,4,4,4,X
Late Escort       2100 - 0300,X,1,1,1,1,1,X
Units CSO   2100 - 0200,X,4,4,4,4,4,X
RSSP IC               2230 - 0330,X,1,1,1,1,1,X
Number of Shifts for Week 2:,5,,,Number of Hours for Week 2:,,,
*Please fill out one or the other*,,,,,,,
Additional Info:,As many housing ic as possible pls!,,,,,,
