Name:,,,,Badge #:,162,Rank:,
Week 2,,,,,,,
Shift\Day,07/31,08/01,08/02,08/03,08/04,08/05,08/06
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
UHS – RSF AM 0815 - 1215,,,,,,,
UHS – RSF PM 1215 - 1645,,,,,,,
Hill Patrol 1100 - 1500,,,,,,,x
University Hall 1445 - 1815,,,,,,,
Berkeley Way West 1545 - 1815,,1,1,1,1,1,
"Bechtel 1745-2200 
Escort swing: 2200-0000",,,,,,,
Supervisor 1800 - 0000,X,X,X,X,X,X,X
Dispatch (Escort IC)   1900 - 0300,X,x,3,3,3,3,3
Early Escort 1900 - 0100,X,x,4,4,4,4,4
RSSP Blackwell          2015 - 0115,X,x,1,1,1,1,1
Late Escort       2100 - 0300,X,x,5,5,5,5,5
Units CSO   2100 - 0200,X,x,2,2,2,2,2
RSSP IC               2230 - 0330,X,X,X,X,X,X,X
Number of Shifts for Week 2:,6-7,,,Number of Hours for Week 2:,40-45,,
*Please fill out one or the other*,,,,,,,
Additional Info:,Please leave 9 hrs between a late shift and an early shift. ,,,,,,
