Name:,,,,Badge #:,,Rank:,
Week 1,,,,,,,
Shift\Day,07/24,07/25,07/26,07/27,07/28,07/29,07/30
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
UHS – RSF AM 0815 - 1215,,,,,,,
UHS – RSF PM 1215 - 1645,,,,,,,
University Hall 1445 - 1815,,,,,,,
Berkeley Way West 1545 - 1815,,5,5,5,5,5,
"Bechtel 1745-2200 
Escort swing: 2200-0000",,,,,,,
Supervisor 1800 - 0000,1,1,1,1,1,1,1
Dispatch (Escort IC) 1900 - 0300,2,2,2,2,2,2,2
Early Escort 1900 - 0100,5,5,5,5,5,5,5
RSSP Blackwell          2015 - 0115,5,5,5,5,5,5,5
Late Escort       2100 - 0300,5,5,5,5,5,5,5
Units CSO   2100 - 0200,5,5,5,5,5,5,5
RSSP IC               2230 - 0330,1,1,1,1,1,1,1
Number of Shifts for Week 1:,No weekends. one night shift per day,,,Number of Hours for Week 1:,40,,
*Please fill out one or the other*,,,,,,,
Additional Info:,,,,,,,
